p = 12289, n = 12
p = 61441, n = 12
p = 86017, n = 12
p = 151553, n = 12
p = 176129, n = 12
p = 184321, n = 12
p = 249857, n = 12
p = 307201, n = 12
p = 331777, n = 12
p = 380929, n = 12
p = 430081, n = 12
p = 471041, n = 12
p = 495617, n = 12
p = 520193, n = 12
p = 577537, n = 12
p = 643073, n = 12
p = 667649, n = 12
p = 675841, n = 12
p = 724993, n = 12
p = 765953, n = 12
p = 790529, n = 12
p = 921601, n = 12
p = 946177, n = 12
p = 962561, n = 12
p = 995329, n = 12
p = 1093633, n = 12
p = 1191937, n = 12
p = 1355777, n = 12
p = 1437697, n = 12
p = 1454081, n = 12
p = 1503233, n = 12
p = 1708033, n = 12
p = 1724417, n = 12
p = 1732609, n = 12
p = 1748993, n = 12
p = 1847297, n = 12
p = 2052097, n = 12
p = 2101249, n = 12
p = 2297857, n = 12
p = 2314241, n = 12
p = 2363393, n = 12
p = 2387969, n = 12
p = 2437121, n = 12
p = 2469889, n = 12
p = 2486273, n = 12
p = 2543617, n = 12
p = 2592769, n = 12
p = 2641921, n = 12
p = 2707457, n = 12
p = 2715649, n = 12
p = 2756609, n = 12
p = 2912257, n = 12
p = 2936833, n = 12
p = 3002369, n = 12
p = 3076097, n = 12
p = 3133441, n = 12
p = 3174401, n = 12
p = 3198977, n = 12
p = 3280897, n = 12
p = 3305473, n = 12
p = 3420161, n = 12
p = 3428353, n = 12
p = 3452929, n = 12
p = 3469313, n = 12
p = 3526657, n = 12
p = 3543041, n = 12
p = 3690497, n = 12
p = 3870721, n = 12
p = 3911681, n = 12
p = 3919873, n = 12
p = 3944449, n = 12
p = 3960833, n = 12
p = 3985409, n = 12
p = 3993601, n = 12
p = 4141057, n = 12
p = 4165633, n = 12
p = 4206593, n = 12
p = 4263937, n = 12
p = 4304897, n = 12
p = 4427777, n = 12
p = 4435969, n = 12
p = 4452353, n = 12
p = 4476929, n = 12
p = 4550657, n = 12
p = 4632577, n = 12
p = 4771841, n = 12
p = 4780033, n = 12
p = 4845569, n = 12
p = 4902913, n = 12
p = 5050369, n = 12
p = 5066753, n = 12
p = 5140481, n = 12
p = 5189633, n = 12
p = 5222401, n = 12
p = 5246977, n = 12
p = 5287937, n = 12
p = 5337089, n = 12
p = 5345281, n = 12
p = 5369857, n = 12
p = 5410817, n = 12
p = 5492737, n = 12
p = 5517313, n = 12
p = 5591041, n = 12
p = 5632001, n = 12
p = 5656577, n = 12
p = 5738497, n = 12
p = 5763073, n = 12
p = 5779457, n = 12
